,presence/absence of scene_cuts
0,0.0
1,-0.00039241747655697037
2,-0.0052329274971404495
3,-0.013597088557510356
4,-0.019857408239375575
5,-0.02276387786501189
6,-0.023481298353543574
7,-0.02312696252312131
8,-0.022395177243019836
9,-0.021679964322422307
10,-0.021150797345408485
11,-0.020824961915023834
12,-0.020650845698214768
13,-0.020567986976263185
14,-0.020532217176485276
15,-0.020518010148313046
16,-0.020512820512820513
17,-0.020512820512820513
18,-0.020512820512820513
19,-0.020512820512820513
20,-0.020512820512820513
21,-0.020512820512820513
22,-0.020512820512820513
23,-0.020512820512820513
24,-0.020512820512820513
25,-0.020512820512820513
26,-0.020512820512820513
27,-0.0013824685306682103
28,0.21546204299062405
29,0.38724003118021255
30,0.28467776397810884
31,0.12117757373694982
32,0.014461428303098895
33,-0.03778669224590585
34,-0.05618735291776739
35,-0.055379450391950344
36,-0.046309710642244206
37,-0.03639729774407231
38,-0.029000986082262554
39,-0.0245521832079603
40,-0.022256598251993463
41,-0.021205413136216728
42,-0.020765815243081596
43,-0.02051282051282055
44,-0.02051282051282055
45,-0.02051282051282055
46,-0.02051282051282055
47,-0.02051282051282055
48,-0.02051282051282055
49,-0.02051282051282055
50,-0.02051282051282055
51,-0.02051282051282055
52,-0.02051282051282055
53,-0.02051282051282055
54,-0.02051282051282055
55,-0.02051282051282055
56,-0.02051282051282055
57,-0.02051282051282055
58,-0.02051282051282055
59,-0.02051282051282055
60,-0.02051282051282055
61,-0.02051282051282055
62,-0.02051282051282055
63,-0.02051282051282055
64,-0.02051282051282055
65,-0.02051282051282055
66,-0.02051282051282055
67,-0.02051282051282055
68,-0.02051282051282055
69,-0.02051282051282055
70,-0.02051282051282055
71,-0.02051282051282055
72,-0.0013824685306682483
73,0.21546204299062405
74,0.38724003118021255
75,0.28467776397810884
76,0.12117757373694983
77,0.014461428303098902
78,-0.037786692245905834
79,-0.056187352917767386
80,-0.055379450391950344
81,-0.046309710642244206
82,-0.03639729774407231
83,-0.029000986082262554
84,-0.0245521832079603
85,-0.022256598251993463
86,-0.021205413136216728
87,-0.020765815243081596
88,-0.02051282051282055
89,-0.02051282051282055
90,-0.02051282051282055
91,-0.02051282051282055
92,-0.02051282051282055
93,-0.02051282051282055
94,-0.02051282051282055
95,-0.02051282051282055
96,-0.02051282051282055
97,-0.02051282051282055
98,-0.02051282051282055
99,-0.02051282051282055
100,-0.0013824685306682483
101,0.21546204299062405
102,0.38724003118021255
103,0.28467776397810884
104,0.12117757373694983
105,0.014461428303098902
106,-0.037786692245905834
107,-0.056187352917767386
108,-0.055379450391950344
109,-0.046309710642244206
110,-0.03639729774407231
111,-0.029000986082262554
112,-0.0245521832079603
113,-0.022256598251993463
114,-0.021205413136216728
115,-0.020765815243081596
116,-0.02051282051282055
117,-0.02051282051282055
118,-0.02051282051282055
119,-0.02051282051282055
120,-0.02051282051282055
121,-0.02051282051282055
122,-0.02051282051282055
123,-0.02051282051282055
124,-0.02051282051282055
125,-0.02051282051282055
126,-0.02051282051282055
127,-0.02051282051282055
128,-0.02051282051282055
129,-0.02051282051282055
130,-0.02051282051282055
131,-0.02051282051282055
132,-0.02051282051282055
133,-0.02051282051282055
134,-0.02051282051282055
135,-0.02051282051282055
136,-0.02051282051282055
137,-0.02051282051282055
138,-0.02051282051282055
139,-0.02051282051282055
140,-0.02051282051282055
141,-0.02051282051282055
142,-0.02051282051282055
143,-0.02051282051282055
144,-0.02051282051282055
145,-0.02051282051282055
146,-0.02051282051282055
147,-0.02051282051282055
148,-0.02051282051282055
149,-0.02051282051282055
150,-0.02051282051282055
151,-0.02051282051282055
152,-0.02051282051282055
153,-0.02051282051282055
154,-0.02051282051282055
155,-0.02051282051282055
156,-0.02051282051282055
157,-0.02051282051282055
158,-0.02051282051282055
159,-0.02051282051282055
160,-0.02051282051282055
161,-0.02051282051282055
162,-0.02051282051282055
163,-0.02051282051282055
164,-0.02051282051282055
165,-0.02051282051282055
166,-0.02051282051282055
167,-0.02051282051282055
168,-0.02051282051282055
169,-0.02051282051282055
170,-0.02051282051282055
171,-0.02051282051282055
172,-0.02051282051282055
173,-0.02051282051282055
174,-0.02051282051282055
175,-0.02051282051282055
176,-0.02051282051282055
177,-0.02051282051282055
178,-0.02051282051282055
179,-0.02051282051282055
180,-0.02051282051282055
181,-0.02051282051282055
182,-0.02051282051282055
183,-0.02051282051282055
184,-0.02051282051282055
185,-0.02051282051282055
186,-0.02051282051282055
187,-0.02051282051282055
188,-0.02051282051282055
189,-0.02051282051282055
190,-0.02051282051282055
